SL No	Donor Name	Location Name	Latitude 	Longitude	Google location	No of Percolation well Constructed	Year of Completion	Zone	Ward Number	Location by Parks/Campuses
1	Bosch - Rebi	Lalbagh Botanical Garden - 1	12.95217806	77.58504382	https://goo.gl/maps/mokUe3oYt6U6bB1R8	225	Mar-19	Bommanahalli Zone		Horticulture Parks
2	DXC Technologies	Jinke park	12.95181772	77.55755432	https://goo.gl/maps/hAKkaj9H3SSE258D7	33	Mar-21	South zone		BBMP Park
3	Zebra	Kidwai Hospital	12.93570169	77.59758183	https://goo.gl/maps/umwN6tg9KNJ11RBaA	30	Mar-21	South zone		Others
4	Alstom Foundation	Anekal Town	12.70775016	77.69443312	https://goo.gl/maps/CMDnSfPHYU7uvKom7	25	Jun-21	Anekal		Schools and Colleges
5	Zebra	Nimhans Hospital	12.93869125	77.59453086	https://goo.gl/maps/fVVhAHXk92CZ13v17	75	Dec-21	Bommanahalli Zone		Others
6	United Breweries	Nandi Panchayat	13.38420025	77.68991089	https://goo.gl/maps/ZkJWGCDKCA2DWN9EA	90	Mar-22	Nandi village		Others
7	Synamedia	Freedom Park	12.97907237	77.58247669	https://goo.gl/maps/97NkwxonDha5GHKx5	33	Mar-22	West zone		BBMP Park
8	Telstra	Richards Park	13.00427611	77.61727401	https://goo.gl/maps/ss4uPFXxYF1z2SRYA	10	Mar-22	East Zone		BBMP Park
9	Kennametal	JP Park - Mathikere	13.03448688	77.55131426	https://goo.gl/maps/U1ayUzEemfrkrp5u5	90	Mar-22	RR Nagar Zone		BBMP Park
10	ExxonMobil	Mini Forest and Munneswara park	12.91180674	77.5991063	https://goo.gl/maps/KeS1ryWfaif2yiK46	40	Mar-21	South zone		BBMP Park
11	Northern Trust	Sakalavara- Nimhans	12.82418512	77.60143315	https://goo.gl/maps/yeYs4VCtjwSEtJKb9	77	Mar-22	South zone		Others
12	ExxonMobil	Kadugodi Forest and Park	12.98677153	77.74545273	https://goo.gl/maps/mSrg9FtcKdC8nBoR7	52	Mar-22	Mahadevapura Zone		Forest Dept
13	Momentive	ISRO Park	12.89665424	77.55873619	https://goo.gl/maps/AEm21re8gB6wq6Cw9	13	Apr-22	South zone		Others
14	DXC Technologies	BDA Avalahalli park	12.94335776	77.54290441	https://goo.gl/maps/d9aKCqs8k6sYwBoN6	20	Mar-22	South zone		BBMP Park
15	Avality	Krishna Rao Park-1	12.9418635	77.57530455	https://goo.gl/maps/Yu5qmpFUQUagrVFA7	37	Mar-22	South zone		BBMP Park
16	CBA	Krishna Rao Park-2	12.94183736	77.57540111	https://goo.gl/maps/Yu5qmpFUQUagrVFA7	24	Mar-22	South zone		BBMP Park
17	HCL Foundation	Anekal School and Anganwadi	12.79022964	77.67510707	https://goo.gl/maps/iWQpCXPCYQLbLQhw6	21	Mar-22	Anekal		Schools and Colleges
18	Fortrea	Lalbagh Botanical Garden - 2	12.94654306	77.58096123	https://goo.gl/maps/mokUe3oYt6U6bB1R8	85	Jan-23	South zone		Horticulture Parks
19	Mphasis	Lalbagh Botanical Garden - 3	12.95013654	77.58672959	https://goo.gl/maps/mokUe3oYt6U6bB1R8	150	Mar-23	South zone		Horticulture Parks
20	Mphasis	Swachagraha Kalika Kendra	12.91533526	77.63918729	https://goo.gl/maps/FkWMFWKP9LaU5ZtCA	10	Mar-23	Bommanahalli Zone		BBMP Park
21	Mphasis	Vrukasha vana Park	12.90824467	77.63610132	https://goo.gl/maps/VsAwc2FFi96v19ji8	12	Mar-23	Bommanahalli Zone		BBMP Park
22	Mphasis	Bengaluru one Park	12.91315329	77.64958779	https://goo.gl/maps/5WwuA2fahv2Xd86f6	15	Mar-23	Bommanahalli Zone		BBMP Park
23	Mphasis	Lawrence School Park	12.91374974	77.63406631	https://goo.gl/maps/Wr8mCS3UMmCHtCDG8	7	Mar-23	Bommanahalli Zone		BBMP Park
24	Mphasis	Forest Park	12.91623825	77.64820611	https://goo.gl/maps/Da6DCCZhrhLrutRLA	18	Mar-23	Bommanahalli Zone		BBMP Park
25	Mphasis	Ganesh Park	12.91784934	77.65094001	https://goo.gl/maps/8gLyuUKcHjFXTMK7A	13	Mar-23	Bommanahalli Zone		BBMP Park
26	Mphasis	Thungabadra Park	12.91496925	77.64717109	https://goo.gl/maps/QuA5jGN5wz2LGxDH9	8	Mar-23	Bommanahalli Zone		BBMP Park
27	Mphasis	Nethravathi Park	12.91743109	77.65307891	https://goo.gl/maps/tvjX9Savz7MDxJvi7	10	Mar-23	Bommanahalli Zone		BBMP Park
28	Mphasis	Tree Park	12.91095558	77.65126073	https://goo.gl/maps/issxXkdQ8NJAhzXB9	2	Mar-23	Bommanahalli Zone		BBMP Park
29	Mphasis	Naft Collage back side Park	12.91005265	77.65263256	https://goo.gl/maps/4oB1gUeqphjX5amR8	3	Mar-23	Bommanahalli Zone		BBMP Park
30	Mphasis	Rajyotsava Park	12.90950036	77.65114963	https://goo.gl/maps/ujkzLTVhfg68eVUb7	2	Mar-23	Bommanahalli Zone		BBMP Park
31	Mphasis	Niligiri park/Krishana park	12.91356989	77.64629292	https://goo.gl/maps/KgreyNYntDMKThJP6	8	Mar-23	Bommanahalli Zone		BBMP Park
32	Mphasis	Naft Collage back side Park 1	12.911332	77.65258779	https://goo.gl/maps/N87XZNEjxMubiDdC9	2	Mar-23	Bommanahalli Zone		BBMP Park
33	Mphasis	Jodi Park	12.90834448	77.64085476	https://goo.gl/maps/VWTjrjNwD64GpLVq8	5	Mar-23	Bommanahalli Zone		BBMP Park
34	Mphasis	Ugrappa Park/Swabimana park	12.91103482	77.64019346	https://goo.gl/maps/DzNWszQ2nZDLsHvV9	50	Mar-23	Bommanahalli Zone		BBMP Park
35	Swiss Re Foundation	"4th Main park,Sector 7"	12.910793	77.631703	"12.910793,77.631703"	15	Mar-23	Bommanahalli Zone		BBMP Park
36	Swiss Re Foundation	"8A Main Park,Sector 7"	12.9095671	77.6334295	"12.9095671,77.6334295"	10	Mar-23	Bommanahalli Zone		BBMP Park
37	Swiss Re Foundation	"14th B Cross Road,Sector 6 Next to Children Amusement Park"	12.914742	77.634614	"12.914742,77.634614"	10	Mar-23	Bommanahalli Zone		BBMP Park
38	Swiss Re Foundation	"6th Main park,sector 7"	12.91081109	77.63348293	https://goo.gl/maps/YADgzcnSaPsRh8cC6	15	Mar-23	Bommanahalli Zone		BBMP Park
39	Telstra	Independence Park	12.90740622	77.64703512	https://goo.gl/maps/t8Knez6rBbn7vo5z7	2	Mar-23	Bommanahalli Zone		BBMP Park
40	Telstra	Green Park Sector-2	12.90978922	77.64593279	https://goo.gl/maps/nRhJ4rxnGnfhCJmi6	5	Mar-23	Bommanahalli Zone		BBMP Park
41	Mphasis	Hulimavu BDA Park	12.86678172	77.59940227	https://goo.gl/maps/te9387HZTYAMQjxD6	7	Mar-23	Bommanahalli Zone		BBMP Park
42	Mphasis	Banana Park	12.88930911	77.61007272	https://goo.gl/maps/EKtdXutPEDiv4EeT8	2	Mar-23	Bommanahalli Zone		BBMP Park
43	Mphasis	Ayyappa Temple Park 1	12.89240386	77.60917072	https://goo.gl/maps/jvor8t6RkpHxzb3T9	21	Mar-23	Bommanahalli Zone		BBMP Park
44	Mphasis	Police station back back side park	12.89086999	77.60833481	https://goo.gl/maps/eYUUaBBxuo2BXHJ68	5	Mar-23	Bommanahalli Zone		BBMP Park
45	Mphasis	Kaveramma Park	12.89521886	77.60633227	"https://maps.google.com/?q=12.895062,77.606343&entry=gps"	5	Mar-23	Bommanahalli Zone		BBMP Park
46	Mphasis	Near Sai baba temple park	12.88324687	77.60880572	https://goo.gl/maps/TxMz8kwUocWcFXwVA	2	Mar-23	Bommanahalli Zone		BBMP Park
47	Mphasis	Ayyappa Temple back side Park	12.89176157	77.60555116	https://goo.gl/maps/iQwa3eYcFGcJgewg7	14	Mar-23	Bommanahalli Zone		BBMP Park
48	Mphasis	Loyala School Park	12.86834881	77.59122018	https://goo.gl/maps/zcqB1RtJBF9RFDb47	112	Mar-23	Bommanahalli Zone		BBMP Park
49	NextGen	Kariyappa park	12.9199242	77.60979038	https://goo.gl/maps/yD4Q4c6Y2AK8Dcna6	16	Mar-23	South zone		BBMP Park
50	NextGen	Kuvempu Park	12.91728887	77.61044636	https://goo.gl/maps/1MjiWknEz4qvZPE98	17	Mar-23	South zone		BBMP Park
51	Mphasis	Shantiniketan Tank Park	12.88166821	77.60794748	https://goo.gl/maps/JPwgaVEfPQcTfBiS6	11	Mar-23	Bommanahalli Zone		BBMP Park
52	Mphasis	Nirmala Joyhti ITI Park	12.86656943	77.59192461	https://goo.gl/maps/bC1T6TRLqaFTYWzK8	16	Mar-23	Bommanahalli Zone		Others
53	Mphasis	Maitreya Campus	12.86825352	77.58722838	https://goo.gl/maps/93Kadr5vtbUYrWvX8	5	Mar-23	Bommanahalli Zone		Others
54	Mphasis	Ashram park	12.86738584	77.58845395	https://goo.gl/maps/LSNVDBY8T47JwT8V8	9	Mar-23	Bommanahalli Zone		Others
55	Mphasis	Karnataka Compost Development Corporation	12.89405893	77.64953475	https://goo.gl/maps/WuvjBfwX32UA39AfA	10	Mar-23	Bommanahalli Zone		Others
56	Mphasis	Govt Hospital park Singasandra	12.87232959	77.65241851	https://goo.gl/maps/sBmAYxceRGjWUjwS6	13	Mar-23	Bommanahalli Zone		Others
57	Mphasis	Forest Department Nursery	12.89643266	77.6460462	https://goo.gl/maps/dXehue79KxM7pmHV6	48	Mar-23	Bommanahalli Zone		Forest Dept
58	Mphasis	Bommanahalli Horticulture Farmhouse	12.89640662	77.6469219	https://goo.gl/maps/gkXiWEMiqRg5RLD1A	30	Mar-23	Bommanahalli Zone		Forest Dept
59	Mphasis	Poornapragna park	12.90665515	77.53746856	https://maps.app.goo.gl/A32TgSiu1XDwNjt57	14	Mar-23	Bommanahalli Zone		BBMP Park
60	Mphasis	Poornapragna 49th Cross Park	12.90725759	77.53778392	https://maps.app.goo.gl/oZFqzK1Rsid9XceV8	19	Mar-23	Bommanahalli Zone		BBMP Park
61	Mphasis	Poornapragna Amruth Park	12.90251158	77.53578517	https://maps.app.goo.gl/gsu1eCvEzYK4NeyK8	8	Mar-23	Bommanahalli Zone		BBMP Park
62	Mphasis	Poornapragna park no 7	12.90704784	77.53278612	https://maps.app.goo.gl/QzjRz9L91Yi1XMLy7	8	Mar-23	Bommanahalli Zone		BBMP Park
63	Mphasis	Chakra Park	12.89295049	77.53291016	https://maps.app.goo.gl/LqkYNAM3JcVEoXRZA	7	Mar-23	Bommanahalli Zone		BBMP Park
64	Mphasis	Patyangiri Park	12.89076824	77.53540996	https://maps.app.goo.gl/2PDmjEmQMjyJqdNT9	4	Mar-23	Bommanahalli Zone		BBMP Park
65	Mphasis	Poornapragna park no 16	12.90251245	77.53654487	https://maps.app.goo.gl/eMDt6XeFbjyVCYv58	9	Mar-23	Bommanahalli Zone		BBMP Park
66	Target Corporation	Soundarya BBMP Park	13.03626699	77.56940865	https://goo.gl/maps/wX9KX2FnRgYqkEbh9	20	Mar-23	East Zone		BBMP Park
