Donor,Location Name,FID of the park,Zone,Location latitude,Location longitude,Unique ID of the Percolation well,Percolation well latitude,Percolation well longitude,,,,,,,,
Continental,Cubbon park,,East zone,,,C-14,12.97284,77.59363,,,,,,,,
Continental,Cubbon Park,,East zone,,,C-16,12.97121,77.5909,,,,,,,,
Continental,Cubbon Park,,East zone,,,C-17,12.97139,77.59097,,,,,,,,
Continental,Cubbon Park,,East zone,,,C-18,12.97139,77.59118,,,,,,,,
Continental,Cubbon Park,,East zone,,,C-19,12.97164,77.59125,,,,,,,,
Continental,Cubbon Park,,East zone,,,C-20,12.97186,77.59124,,,,,,,,
Continental,Cubbon Park,,East zone,,,C-21,12.97204,77.59129,,,,,,,,
Continental,Cubbon Park,,East zone,,,C-35,12.97168,77.59163,,,,,,,,
Continental,Cubbon Park,,East zone,,,C-36,12.97168,77.59181,,,,,,,,
Continental,Cubbon Park,,East zone,,,C-37,12.97178,77.59181,,,,,,,,
Continental,Cubbon Park,,East zone,,,C-38,12.97183,77.59215,,,,,,,,
Continental,Cubbon Park,,East zone,,,C-39,12.97091,77.59073,,,,,,,,
Continental,Cubbon Park,,East zone,,,C-40,12.97113,77.59064,,,,,,,,
Continental,Cubbon Park,,East zone,,,c-15,12.97131,77.59055,,,,,,,,
Continental,Cubbon Park,,East zone,,,C-08,12.97155,77.59104,,,,,,,,
Continental,Cubbon Park,,East zone,,,C-07,12.97218,77.59104,,,,,,,,
Continental,Cubbon Park,,East zone,,,C-06,12.97088,77.59068,,,,,,,,
Continental,Cubbon Park,,East zone,,,C10,12.97236,77.59063,,,,,,,,
Continental,Cubbon Park,,East zone,,,C15,12.97189,77.5904,,,,,,,,
Continental,Cubbon Park,,East zone,,,C-22,12.97118,77.59092,,,,,,,,
Continental,Cubbon Park,,East zone,,,C-23,12.97135,77.59117,,,,,,,,
Continental,Cubbon Park,,East zone,,,C-24,12.97175,77.59121,,,,,,,,
Continental,Cubbon Park,,East zone,,,C-25,12.97163,77.59163,,,,,,,,
Continental,Cubbon Park,,East zone,,,C-26,12.97177,77.59185,,,,,,,,
Continental,Cubbon Park,,East zone,,,C-27,12.97181,77.59217,,,,,,,,
Continental,Cubbon Park,,East zone,,,C-28,12.97237,77.59033,,,,,,,,
Continental,Cubbon Park,,East zone,,,C-29,12.97175,77.59059,,,,,,,,
Continental,Cubbon Park,,East zone,,,C-30,12.97164,77.59123,,,,,,,,
Continental,Cubbon Park,,East zone,,,C-31,12.97136,77.59101,,,,,,,,
Continental,Cubbon Park,,East zone,,,C-32,12.97168,77.59181,,,,,,,,
Continental,Cubbon park,,East zone,,,C-09,12.97237,77.59033,,,,,,,,
Continental,Cubbon park,,East zone,,,C-33,12.97175,77.59059,,,,,,,,
Continental,Cubbon park,,East zone,,,C-34,12.97164,77.59123,,,,,,,,
Continental,Cubbon park,,East zone,,,C-13,12.97136,77.59101,,,,,,,,
Continental,Cubbon park,,East zone,,,C-12,12.97168,77.59181,,,,,,,,
Continental,Cubbon park,,East zone,,,C-11,12.97293,77.59125,,,,,,,,
Deloitte India,Indira Gandhi Musical Fountain park,,East Zone,,,D-61,12.98455,77.59131,,,,,,,,
Deloitte India,Indira Gandhi Musical Fountain park,,East Zone,,,D-62,12.98425,77.59142,,,,,,,,
Deloitte India,Indira Gandhi Musical Fountain park,,East Zone,,,D-63,12.98409,77.59148,,,,,,,,
Deloitte India,Indira Gandhi Musical Fountain park,,East Zone,,,D-64,12.98382,77.59182,,,,,,,,
Deloitte India,Indira Gandhi Musical Fountain park,,East Zone,,,D-65,12.98411,77.59183,,,,,,,,
Deloitte India,Indira Gandhi Musical Fountain park,,East Zone,,,D-66,12.9846,77.5926,,,,,,,,
Deloitte India,Indira Gandhi Musical Fountain park,,East Zone,,,D-67,12.98475,77.59271,,,,,,,,
Deloitte India,Indira Gandhi Musical Fountain park,,East Zone,,,D-68,12.98576,77.59255,,,,,,,,
Deloitte India,Indira Gandhi Musical Fountain park,,East Zone,,,D-70,12.98455,77.59241,,,,,,,,
Deloitte India,Indira Gandhi Musical Fountain park,,East Zone,,,D-69,12.98476,77.5912,,,,,,,,
Deloitte India,Indira Gandhi Musical Fountain park,,East Zone,,,D-71,12.98491,77.59243,,,,,,,,
Deloitte India,Indira Gandhi Musical Fountain park,,East Zone,,,D-72,12.98487,77.59263,,,,,,,,
Fortrea,Bengaluru Rural SP Office,,East Zone,,,F-1,12.98948,77.5926,,,,,,,,
Fortrea,Bengaluru Rural SP Office,,East Zone,,,F-2,12.98953,77.5926,,,,,,,,
Fortrea,Bengaluru Rural SP Office,,East Zone,,,F-3,12.98952,77.59256,,,,,,,,
Fortrea,Bengaluru Rural SP Office,,East Zone,,,F-6,12.98966,77.5925,,,,,,,,
Fortrea,Bengaluru Rural SP Office,,East Zone,,,F-7,12.9896,77.59245,,,,,,,,
Fortrea,Bengaluru Rural SP Office,,East Zone,,,F-8,12.98984,77.59252,,,,,,,,
Fortrea,Bengaluru Rural SP Office,,East Zone,,,F-4,12.98928,77.5923,,,,,,,,
Fortrea,Coles Park,,East Zone,,,F-31,12.99378,77.60987,,,,,,,,
Fortrea,Coles Park,,East Zone,,,F-32,12.99314,77.60973,,,,,,,,
Fortrea,Coles Park,,East Zone,,,F27,12.99404,77.60954,,,,,,,,
Fortrea,Coles Park,,East Zone,,,F-28,12.9934,77.60983,,,,,,,,
Fortrea,Coles Park,,East Zone,,,F-29,12.99492,77.60909,,,,,,,,
